;textID;text;sentiment;aws_obj_score;aws_mixed_score;aws_mixed_score;aws_neg_score;aws_final_score;aws_pred_sent;azure_obj_score;azure_pos_score;azure_neg_score;azure_final_score;azure_pred_sent;sent_vs_azure;sent_vs_aws;aws_vs_azure;aws_vs_azure_mixed;all_true_sent;all_false_sent;same_but_false;azure_t_vs_aws_f;aws_t_vs_azure_f
12;4a0d92c598; mon ami since 5 years young  I loveeee her. Foreverrr;positive;0.00350718735717237;1.6198528101085683e-06;0.9964200258255004;7.119530346244574e-05;0.9963488305220379;positive;0.06;0.93;0.01;0.92;positive;True;True;True;False;True;False;False;False;False
13;fb96065ecc; totally agree;positive;0.284146249294281;0.003317762166261673;0.466283917427063;0.24625210464000705;0.220031812787056;positive;0.99;0.0;0.01;-0.01;neutral;False;True;False;False;False;False;False;False;True
14;7ccc3bafa7;lamentablemente paso  #jrztwitterlunch;neutral;0.007102766074240208;1.050102582667023e-06;0.000182312898687087;0.992713749408722;-0.9925314365100348;negative;0.21;0.35;0.44;-0.09000000000000002;negative;False;False;True;False;False;True;True;False;False
15;74f8315d8a;" Wow, that is good  I`m on Mac too with XP via Parallels if you ever need a tester ;)";positive;0.004071962554007769;5.926249286858365e-07;0.995754599571228;0.00017285121430177242;0.9955817483569264;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
16;e5b3486ba2;wow, nothing like a sale to perk up a girl`s evening, huh!;positive;0.4112707078456879;5.426670759334229e-05;0.2480137646198273;0.3406612277030945;-0.0926474630832672;neutral;0.01;0.98;0.01;0.97;positive;True;False;False;False;False;False;False;True;False
17;40c25ade49;me 10 - 630, andrew 8 - 4. No idea about the rest, I think it was Ben and Princeton which could be fun  lol I`m going to be late;positive;0.6344783306121826;0.00029358227038756013;0.2799330353736877;0.08529505133628845;0.1946379840373993;neutral;0.0;0.98;0.02;0.96;positive;True;False;False;False;False;False;False;True;False
18;753afb695b;Yesssssssssss! A rocket to the moon is  going on warped!;neutral;0.19644421339035034;2.2387675926438533e-05;0.7898188829421997;0.013714487664401531;0.7761043952777982;positive;0.15;0.41;0.44;-0.030000000000000027;mixed;False;False;False;False;False;True;False;False;False
19;5ff9641dc0;Another great song to sing along with....    ? http://blip.fm/~5jhtq;positive;0.014732148498296738;1.9044571217818886e-06;0.9851282238960266;0.00013773053069598973;0.9849904933653306;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
20;4f8932c7f9;favorite shirt ruined:death by bleach  #fb;negative;0.2650294005870819;0.005507139954715967;0.013770719990134241;0.7156928181648254;-0.7019220981746912;negative;0.0;0.06;0.94;-0.8799999999999999;negative;True;True;True;False;True;False;False;False;False
21;2c9ef954f2; your face makes people laugh. cause you`re so ugly. so you`re half-way there;negative;0.08386411517858505;0.7275577187538147;0.1283307671546936;0.060247451066970825;0.06808331608772278;mixed;0.01;0.49;0.5;-0.010000000000000007;mixed;False;False;True;True;False;True;True;False;False
22;ea6111edea; don`t you agree?;neutral;0.20331701636314392;0.6466333866119385;0.0535101555287838;0.0965394601225853;-0.0430293045938015;mixed;0.86;0.01;0.13;-0.12;neutral;True;False;False;False;False;False;False;True;False
23;aa7e1f4fe4;someones dead on army wives. Dad just laughed and Mum got annoyed with him. I wanna watch Britains Got Talent;neutral;0.2105647772550583;0.0016380163142457604;0.23050373792648315;0.5572934746742249;-0.3267897367477417;negative;0.0;0.33;0.67;-0.34;mixed;False;False;False;False;False;True;False;False;False
24;e47fb0bfe5;Stupid freshmen ruined theatre class.. Now we don`t get to play warm-up games for the rest of the school year;negative;0.013955331407487392;2.3016459635982756e-06;0.00014233602269086987;0.9858999848365784;-0.9857576488138876;negative;0.0;0.0;1.0;-1.0;negative;True;True;True;False;True;False;False;False;False
25;a965a49d12;Mobile phone check-in? Another fail! American`s service came close, but crashed at the gate. I`m now 0 for 3.;negative;0.05493805930018425;0.00011986758181592451;0.01000183541327715;0.934940218925476;-0.9249383835121988;negative;0.01;0.0;0.99;-0.99;negative;True;True;True;False;True;False;False;False;False
26;5ec244dacc;ONE MO TIME BECUZ  HASNT SEEN IT YET!!! AND SHES SOO **** COOL, ILL POST IT JUST 4 HER  http://bbltwt.com/0mqko;positive;0.047009158879518516;1.6298587070195936e-05;0.9479094147682191;0.0050650713965296745;0.9428443433716892;positive;0.22;0.02;0.76;-0.74;negative;False;True;False;False;False;False;False;False;True
27;fbf335c4aa;is cursing AB`s wardrobe handles. One drew blood;negative;0.0677172839641571;4.021640052087605e-05;0.0014989098999649284;0.9307436347007751;-0.9292447248008102;negative;0.28;0.0;0.72;-0.72;negative;True;True;True;False;True;False;False;False;False
28;8b8ac83fb2;bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!;neutral;0.1747027188539505;0.006522850133478642;0.2580816149711609;0.5606927871704102;-0.3026111721992493;negative;0.01;0.33;0.66;-0.33;negative;False;False;True;False;False;True;True;False;False
29;14a98e2f09;  I know! they were running out though, Soph had to get a massive one...;positive;0.4469902515411377;0.0020337568130344152;0.10446080565452576;0.44651517271995533;-0.3420543670654297;neutral;0.87;0.05;0.08;-0.03;neutral;False;False;True;False;False;True;True;False;False
30;1e7b0c1a1b;Got the BrainBone daily question right!  - http://tinyurl.com/c9ryqc;neutral;0.5426612496376038;5.192754088056971e-06;0.4567883908748626;0.0005452063633129001;0.4562431845115498;neutral;0.05;0.94;0.01;0.93;positive;False;True;False;False;False;False;False;False;True
31;b2bea50fa1;: Yeah, I fell asleep  I`m sorry. No way in the world I was waking up @ 7am lol. I had to work @ 9am.;negative;0.4002855122089386;0.004462031181901693;0.12566204369068146;0.4695903956890106;-0.3439283519983292;negative;0.03;0.32;0.65;-0.33;mixed;False;True;False;False;False;False;False;False;True
32;d861af4635;Just saw a land rover pull into the school parking lot and thought it was spencer;neutral;0.9867321848869324;3.1633805974706775e-06;0.009358524344861507;0.003906097495928407;0.005452426848933101;neutral;0.83;0.05;0.12;-0.06999999999999999;neutral;True;True;True;False;True;False;False;False;False
33;492959359d;_navarro I wish this area offered chinese food delivery;positive;0.6724153161048889;0.00046678251237608487;0.3180607557296753;0.009057237766683102;0.3090035179629922;neutral;0.68;0.28;0.04;0.24;neutral;False;False;True;False;False;True;True;False;False
34;6ccee02afb; lame right?  do u know what dates you`ll be in Cali?;negative;0.8807819485664368;3.9911374187795445e-06;0.010737868957221508;0.10847612470388412;-0.09773825574666263;neutral;0.0;0.0;1.0;-1.0;negative;True;False;False;False;False;False;False;True;False
35;57c787ac17;I think I`ve got invisible glass shards in my hands cause my fingers keep having painful pokey feelings;negative;0.21329711377620694;0.0004011212149634957;0.02299956046044826;0.7633021473884583;-0.74030258692801;negative;0.0;0.0;1.0;-1.0;negative;True;True;True;False;True;False;False;False;False
36;2fa4d0b1b2;i wanna do something tonight, but that doesnt look very promising;negative;0.04722575843334198;0.01144826877862215;0.013784406706690788;0.9275415539741516;-0.9137571472674608;negative;0.02;0.01;0.97;-0.96;negative;True;True;True;False;True;False;False;False;False
37;38b6a0f71b; i can so sympathise with that;negative;0.068758025765419;0.0001112762911361642;0.8172388672828674;0.11389181762933732;0.7033470496535301;positive;0.0;0.0;1.0;-1.0;negative;True;False;False;False;False;False;False;True;False
38;f37cf7cfb8;Ugh. I hate bad grades. 1st time I`ve ever failed a class and no As- B, B, D, W, I, I! Not like me at all;negative;0.017627120018005368;1.6463689007650828e-06;0.0034500195179134607;0.9789212346076964;-0.9754712150897832;negative;0.02;0.0;0.98;-0.98;negative;True;True;True;False;True;False;False;False;False
39;d02b6e32c7;In the UK with no phone service  oh yea and still sick (cough, sniff);negative;0.14275184273719788;0.000809195335023105;0.014091603457927704;0.8423473834991455;-0.8282557800412178;negative;0.0;0.0;1.0;-1.0;negative;True;True;True;False;True;False;False;False;False
40;391708c17e; Aww Thanks!    Glad I appreciated the weather so much yesterday!;positive;0.0001972381724044681;1.6222851400016225e-06;0.9997127652168274;8.828358113532886e-05;0.999624481635692;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
41;dc9166b505; and i want to let you know im here for vfc no matter what happens and yes i need a hug to bad i live in delaware;negative;0.7747371792793274;0.0003764163120649755;0.07793153822422028;0.14695480465888974;-0.0690232664346695;neutral;0.0;0.0;1.0;-1.0;negative;True;False;False;False;False;False;False;True;False
42;35c919dfab; morning. hope its a good day despite the revising;positive;0.09896582365036012;0.01428896561264992;0.8496035933494568;0.037141669541597366;0.8124619238078594;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
43;b00d7eec65; you called me? didn`t get that.  nest time for sure. maybe i`ll come to LA soon. i hella wana go to Disneyland.;neutral;0.5226944088935852;0.00010422793275211006;0.2461230307817459;0.23107825219631195;0.01504477858543396;neutral;0.23;0.29;0.48;-0.19;mixed;False;True;False;False;False;False;False;False;True
44;cae3d9d9bd;i`m new!!!!! dunno whatta doo!;neutral;0.3958172798156738;8.46602506499039e-06;0.5768493413925171;0.02732489444315433;0.5495244469493628;positive;0.31;0.06;0.63;-0.5700000000000001;negative;False;False;False;False;False;True;False;False;False
45;bdf5a8fe4c; eh, you`re a really nice girl   How are you? miss youuuuuuu;neutral;0.0468013770878315;3.0151819373713813e-05;0.9513791799545288;0.0017892700852826238;0.9495899098692462;positive;0.05;0.94;0.01;0.93;positive;False;False;True;False;False;True;True;False;False
46;2bd6726389;HAPPY MOTHER`S DAY TO ALL OUR MOMS!;positive;0.007803038693964481;2.7583425890043145e-06;0.9907427430152892;0.0014514126814901829;0.9892913303337992;positive;0.27;0.72;0.01;0.71;positive;True;True;True;False;True;False;False;False;False
47;3a85ff666d;I need to get some shut eye... But I just can`t let`s try 1 more time. Ta Ta Twitterworld;neutral;0.499070942401886;6.2955609791970355e-06;0.057038564234972;0.4438842535018921;-0.3868456892669201;neutral;0.76;0.18;0.06;0.12;neutral;True;True;True;False;True;False;False;False;False
48;dd4978c8b7; I`m suffering from the Internet that works bad, only sites hosted on russian servers are available for me;negative;0.3429119288921356;1.0181775905948598e-05;0.007556415628641844;0.6495214104652405;-0.6419649948365986;negative;0.0;0.0;1.0;-1.0;negative;True;True;True;False;True;False;False;False;False
49;0e856f8823; Yes because I haven`t worn jeans in ages;neutral;0.6252579092979431;4.1296661947853855e-06;0.33655259013175964;0.03818536177277565;0.298367228358984;neutral;0.05;0.91;0.04;0.87;positive;False;True;False;False;False;False;False;False;True
50;ed084a1fa7;Happy monday  up and about going to tavares today. Hope everyone has a blessed day!;positive;0.004299473948776722;5.971858627162874e-06;0.9955937266349792;0.00010076857870444655;0.9954929580562748;positive;0.05;0.95;0.0;0.95;positive;True;True;True;False;True;False;False;False;False
51;5de255b7cb; Thanks!  Your name strikes me every time I see it, as a friend of mine uses belofsouthie as her email;positive;0.08031963557004929;5.356605470296927e-06;0.9029184579849244;0.01675655134022236;0.886161906644702;positive;0.25;0.5;0.25;0.25;mixed;False;True;False;False;False;False;False;False;True
52;fe0dc960ea;mum just made me cry coz she said something so sweet to me  i love her so much! MUMS ARE THE BEST!;positive;0.0007123914547264576;8.55788130138535e-06;0.9992349147796632;4.41599877376575e-05;0.9991907547919254;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
53;cc732ad472;7846 - almost catching  up, so gonna kick her ****, and woop i will b joing the 10k mile high club soon;negative;0.8067076802253723;0.0011613282840698955;0.1856679171323776;0.006463121622800827;0.1792047955095768;neutral;0.39;0.56;0.05;0.51;positive;False;False;False;False;False;True;False;False;False
54;98c0376ba8; bahah that would be really funny she would be really cut haha;positive;0.00047231462667696183;0.9969266057014464;0.002551777521148324;4.934579192195088e-05;0.002502431729226373;mixed;0.01;0.99;0.0;0.99;positive;True;False;False;False;False;False;False;True;False
55;93000a69d3;Drinking coffee....MMMMM.....coffee;neutral;0.9841049313545228;1.7757727164280368e-06;0.009808948263525965;0.006084322463721037;0.003724625799804926;neutral;0.7;0.29;0.01;0.28;neutral;True;True;True;False;True;False;False;False;False
56;6ec8eb9348; Ohhhh! Ok! thought that I was going nuts!! Maybe they will pass through here on the way back!;positive;0.297804594039917;0.0007627751911059022;0.2795695662498474;0.42186301946640015;-0.14229345321655273;negative;0.24;0.13;0.63;-0.5;negative;False;False;True;False;False;True;True;False;False
57;c0b5db0b3d; Thanx sis I`ll b sure to let them know how many people r praying w/them...;positive;0.33242517709732056;4.51009145763237e-05;0.6611109375953674;0.006418779958039522;0.6546921576373279;positive;0.04;0.96;0.0;0.96;positive;True;True;True;False;True;False;False;False;False
58;a6c4a1d9c7;_Mom Maybe people would start looking for us... like 'where`s Waldo' but 'where`s the CKC'?;neutral;0.9851780533790588;1.539277377560211e-06;0.009960084222257136;0.004860276356339455;0.005099807865917683;neutral;0.69;0.2;0.11;0.09000000000000001;neutral;True;True;True;False;True;False;False;False;False
59;f2bc1cff88;Just had mothers day lunch here  http://twitpic.com/4wfeo;neutral;0.8584964871406555;8.934567631513348e-06;0.13660649955272675;0.004888142459094524;0.13171835709363222;neutral;0.92;0.04;0.04;0.0;neutral;True;True;True;False;True;False;False;False;False
60;2a2b8edf2b;happy mother`s day, mommy! hope you will have a good day;positive;0.021901378408074382;4.498597263591363e-06;0.9777723550796508;0.00032181345159187913;0.9774505416280591;positive;0.21;0.78;0.01;0.77;positive;True;True;True;False;True;False;False;False;False
61;066a730dbc;my body is aching. I can barely move...but its worth it to be champs;negative;0.030738929286599163;0.26585808396339417;0.6346274614334106;0.06877552717924118;0.5658519342541695;positive;0.18;0.28;0.54;-0.26;mixed;False;False;False;False;False;True;False;False;False
62;7544811702;_precious06 sooo mad;neutral;0.5438129305839539;2.718658470257651e-05;0.04230218008160591;0.41385766863822937;-0.37155548855662346;neutral;0.0;0.0;1.0;-1.0;negative;False;True;False;False;False;False;False;False;True
63;ff6d7db82a;Back from SOAP, soooo fun.;positive;0.0011848154244944453;1.4094688367549681e-06;0.998540997505188;0.0002728615945670753;0.9982681359106208;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
64;aa189955b1;  BUT THEY ARE EXPENSIVE.;negative;0.09780619293451308;3.224087049602531e-05;0.4796409904956818;0.42252063751220703;0.057120352983474725;positive;0.0;0.0;1.0;-1.0;negative;True;False;False;False;False;False;False;True;False
65;68db75e4db; dont get too excited bby i hear thunder rolling in;negative;0.1613372415304184;0.2013212889432907;0.6123595237731934;0.024981960654258728;0.5873775631189346;positive;0.02;0.02;0.96;-0.94;negative;True;False;False;False;False;False;False;True;False
66;8891e37f34; But yeah...I`m sad about my 'Ravenclaw' account. I love that account to bits.;neutral;0.02897526696324348;0.0006351032643578948;0.3813776671886444;0.5890119671821594;-0.207634299993515;negative;0.0;0.5;0.5;0.0;mixed;False;False;False;False;False;True;False;False;False
67;3646168972;Whataburger closing all locations but tally  so harsh, might have to transfer schools;negative;0.3327975571155548;0.0013322486774995925;0.002014286583289504;0.6638559103012085;-0.6618416237179189;negative;0.0;0.0;1.0;-1.0;negative;True;True;True;False;True;False;False;False;False
68;2034d6dcb2; yes ma`am u do have a pretty smile. but you also won`t eat chipotle with me.;neutral;0.3695257604122162;0.13183404505252838;0.4135675728321075;0.0850725919008255;0.32849498093128204;positive;0.05;0.95;0.0;0.95;positive;False;False;True;False;False;True;True;False;False
69;b7c40eced7;i am up - dont want to be though  wish i had slept in more heather woke me up. i`ve got to work later but first i will read some twilight!;negative;0.14160649478435516;0.0001197047458845191;0.7900608777999878;0.06821293383836746;0.7218479439616203;positive;0.2;0.67;0.13;0.54;positive;False;False;True;False;False;True;True;False;False
70;417aa1add9;#Beijing Good massage for you & Sexy girl & 100% real photo  13341015518 - w4 (Beijing): Hi, .. http://tinyurl.com/c48m6r;positive;0.11264435201883315;5.920317562413403e-06;0.8871991634368896;0.000150641702930443;0.8870485217339592;positive;0.79;0.21;0.0;0.21;neutral;False;True;False;False;False;False;False;False;True
71;c6d9ab4ad1;http://twitpic.com/4wry2 - look, , the rosemary in my back garden, in CameraBag`s 'Lolo' mode;neutral;0.9691560864448548;3.3624717161728768e-06;0.03055465407669544;0.0002859383821487427;0.0302687156945467;neutral;0.87;0.12;0.01;0.11;neutral;True;True;True;False;True;False;False;False;False
72;7c3b508210; y r we giving up on people?  I actually thought that way for a while too before I found someone who is very intriguing;neutral;0.19492268562316892;3.6646299122367054e-05;0.5446085929870605;0.26043209433555603;0.2841764986515045;positive;0.06;0.01;0.93;-0.92;negative;False;False;False;False;False;True;False;False;False
73;bb09bdd8b2;i dyed my hair back to super black again!;neutral;0.07370354980230331;9.588838111085353e-06;0.40229663252830505;0.5239901542663574;-0.12169352173805235;negative;0.84;0.12;0.04;0.07999999999999999;neutral;True;False;False;False;False;False;False;True;False
74;ff1462ff46;Mourning Venus` Third Round Loss....;negative;0.9867337942123412;1.8001254602495464e-06;0.005347538739442825;0.007916919887065887;-0.002569381147623062;neutral;0.67;0.01;0.32;-0.31;neutral;False;False;True;False;False;True;True;False;False
75;58c5ff24c8;thanks gourmetcook! But cold shower wouldn`t help.;negative;0.1542130708694458;0.0018759405938908453;0.8263878822326659;0.017523074522614483;0.8088648077100515;positive;0.01;0.49;0.5;-0.010000000000000007;mixed;False;False;False;False;False;True;False;False;False
76;77dbfbfb73;Tonight`s SNL does not dissapoint. LOL;negative;0.20917700231075287;9.849973139353096e-06;0.7891000509262085;0.001713074161671102;0.7873869767645374;positive;0.04;0.88;0.08;0.8;positive;False;False;True;False;False;True;True;False;False
77;b26deb5da5; same thing happens to me all the time;neutral;0.4163708686828613;0.00011741120397346094;0.04190816730260849;0.5416036248207092;-0.4996954575181008;negative;0.97;0.01;0.02;-0.01;neutral;True;False;False;False;False;False;False;True;False
78;7c2a0bb3de;Loving the cairns clan;positive;0.015171700157225132;5.036015409132234e-06;0.9847247004508972;9.85337028396316e-05;0.9846261667480576;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
79;672988516f; YES!!;neutral;0.03292297571897507;3.195200179106905e-06;0.9649457335472108;0.0021280767396092415;0.9628176568076016;positive;0.91;0.07;0.02;0.05;neutral;True;False;False;False;False;False;False;True;False
80;93e36f1caf;Don`t know what to do right now...pretty bored, but I refuse to study. Any suggestions?;negative;0.3469715416431427;0.000441817450337112;0.0015214099548757074;0.6510652303695679;-0.6495438204146922;negative;0.0;0.0;1.0;-1.0;negative;True;True;True;False;True;False;False;False;False
81;93cc9e2e1d;I am officially a kindergarten cop;neutral;0.9644898176193236;8.656164709464066e-07;0.030819581821560863;0.004689626861363649;0.02612995496019721;neutral;0.89;0.08;0.03;0.05;neutral;True;True;True;False;True;False;False;False;False
82;a34bfcb613;making margaritas and about to watch Milk. Good times;positive;0.1033659651875496;7.787429240124766e-06;0.8884263634681702;0.00819987989962101;0.8802264835685492;positive;0.19;0.79;0.02;0.77;positive;True;True;True;False;True;False;False;False;False
83;09162e0abc; Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also;positive;0.7455582022666931;1.975430677703116e-05;0.05642734095454216;0.19799475371837616;-0.14156741276383403;neutral;0.12;0.82;0.06;0.76;positive;True;False;False;False;False;False;False;True;False
84;e01f0511a0;touchin the starss;neutral;0.4301066696643829;0.0002720752090681344;0.5287551283836365;0.04086605459451675;0.4878890737891197;positive;0.66;0.31;0.03;0.28;neutral;True;False;False;False;False;False;False;True;False
85;894e188d01;HAPPY MOTHERS DAY.!;positive;0.009380350820720196;6.246867087611462e-06;0.9885008335113524;0.0021125534549355507;0.986388280056417;positive;0.27;0.71;0.02;0.69;positive;True;True;True;False;True;False;False;False;False
86;d29ac7e599; What happened to Dave?;neutral;0.9902258515357972;1.6307745909216462e-06;0.0006147117819637059;0.009157838299870493;-0.008543126517906785;neutral;0.75;0.2;0.05;0.15000000000000002;neutral;True;True;True;False;True;False;False;False;False
87;f383ad9856;Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!;positive;0.0013244074070826173;9.659523811933468e-07;0.9985608458518982;0.00011381420335965232;0.9984470316485384;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
88;8ba7a1720e; and by the way it`s short stack, not sway sway  sway sway baby is a song of theirs;neutral;0.4349989593029022;3.0392648113775067e-05;0.5397354364395142;0.02523517049849033;0.5145002659410238;positive;0.84;0.01;0.15;-0.14;neutral;True;False;False;False;False;False;False;True;False
89;74eb9eb872;Why did I agree to work on this gorgeous day?;neutral;0.045532844960689545;2.4445736926281825e-05;0.9501975178718568;0.004245248157531023;0.9459522697143256;positive;0.0;1.0;0.0;1.0;positive;False;False;True;False;False;True;True;False;False
90;16370c0a2e;I`m missing crab legs and attending my going away instead!;negative;0.2735438346862793;1.0981983905367088e-05;0.574770987033844;0.15167425572872162;0.4230967313051224;positive;0.46;0.12;0.42;-0.3;neutral;False;False;False;False;False;True;False;False;False
91;f079511098;New baby arrived yesterday. A fab baby boy at 2.8 kilo  Very proud and happy;positive;0.003261882346123457;8.323556357936466e-06;0.9966968297958374;3.301078322692774e-05;0.9966638190126104;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
92;fdf5222cca;Which would be a lot easier to get if plane tickets to AZ didnt raise $80 in price;positive;0.5802428722381592;0.014949410222470759;0.1800214946269989;0.2247862070798874;-0.04476471245288849;neutral;0.01;0.87;0.12;0.75;positive;True;False;False;False;False;False;False;True;False
93;33c3801dfd;i`m just sooo in love....i think;positive;0.0060644615441560745;1.5541996845058745e-06;0.9935454726219176;0.0003885262121912092;0.9931569464097264;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
94;93bd3f9324; ohhhhh with ya;neutral;0.7120629549026489;0.00027596933068707585;0.2525331079959869;0.03512793779373169;0.21740517020225525;neutral;0.72;0.24;0.04;0.2;neutral;True;True;True;False;True;False;False;False;False
95;c5bee8f356;Just chillin`.. I`m a bit bored boohoo  !;neutral;0.3292172849178314;0.017343781888484955;0.0503004901111126;0.6031385064125061;-0.5528380163013935;negative;0.01;0.01;0.98;-0.97;negative;False;False;True;False;False;True;True;False;False
96;807a71e9d1; i cannot deal w/ this tweet. lol.;negative;0.4839020073413849;0.00026140676345676184;0.06586983054876328;0.449966698884964;-0.3840968683362007;neutral;0.23;0.48;0.29;0.19;mixed;False;False;False;False;False;True;False;False;False
97;ca4b9c7919;woke up from napping  finally got the sleep i needed;positive;0.3797354698181152;0.0002762067597359419;0.5489814877510071;0.07100687175989151;0.4779746159911156;positive;0.38;0.53;0.09;0.4400000000000001;positive;True;True;True;False;True;False;False;False;False
98;4d34639c6e;Sulking at home while it rained was poor strategy.  Now i`m watching the sun shine from a desk in the Robarts reference room.;negative;0.4739754498004913;0.0006000762805342674;0.40836936235427856;0.11705516278743745;0.2913141995668411;neutral;0.0;0.0;1.0;-1.0;negative;True;False;False;False;False;False;False;True;False
99;9af20a2f7a;HaPPy Mothers Day!!!;positive;0.15841716527938846;1.959916062332922e-06;0.8373952507972717;0.0041855466552078715;0.8332097041420639;positive;0.93;0.05;0.02;0.03;neutral;False;True;False;False;False;False;False;False;True
100;420d46f643;It`s starting to look like the  website may not happen in any form;negative;0.10990010201931;6.862454711153987e-07;0.002198240254074335;0.8879010081291199;-0.8857027678750455;negative;0.91;0.01;0.08;-0.07;neutral;False;True;False;False;False;False;False;False;True
101;6dee75f6ce; I`m on msn now;neutral;0.8796178102493286;2.999304342665709e-06;0.1110745519399643;0.009304638020694256;0.10176991391927004;neutral;0.96;0.03;0.01;0.02;neutral;True;True;True;False;True;False;False;False;False
102;c16a52d2a7; nice clutch;positive;0.00446278415620327;7.346362963289722e-06;0.9954148530960084;0.00011494122009025888;0.9952999118759179;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
103;c1ccec468f;watching americas next top model yah haha;positive;0.5511932373046875;0.00017404134268872443;0.4464334547519684;0.002199184847995639;0.4442342699039728;neutral;0.28;0.71;0.01;0.7;positive;True;False;False;False;False;False;False;True;False
104;2a23171680;  sorry, I`m back.. food was calling my name..lol..all is good here  and HI! , sorry I haven`t said sooner lol;neutral;0.2723328471183777;0.00032113067572936416;0.7127140760421753;0.014632048085331915;0.6980820279568434;positive;0.0;0.17;0.83;-0.6599999999999999;negative;False;False;False;False;False;True;False;False;False
