;textID;text;sentiment
157;6b15ed25e7;Love the 3 mile 3AM runs. They make me smile;0
158;c63202a91d;  ah you say the nicest things;0
159;b154ec432c;There`s like no one I ACTUALLY know on this shizz! Am dum diggin` it;1
161;cd1f1226ad; Why online one download this week?;1
162;9f04d486fb; If you click on Settings, there is a link to the public timeline at the bottom of that page.;1
163;cd5791e778; YAY! Hope your day at work is wonderful, Sis! We have a Bank Holiday in England today so everyone is off work;0
164;1cfece4d62;So it`s Friday... I have to keep reminding myself since every day seems the same;1
165;c6f0eeae39;Up way way way to early this am....thanks _benson;0
166;c310c327c5; Cover the tomm. event baby! Id like a live blogging on it;1
167;5e95d1255c; rest well!;0
168;d3c4b3ea9e; ha ha  thank you!;0
170;3b7c6be2f1;thinking about having lunch soon, but we have no food in;1
171;fe32c3e4df;What a nice young guy at dunkin donuts let me go first;0
172;f44f383125;feels not good at all;2
173;b33e103327; you are a good child.;0
174;03603ac4f6;just got home from Tillie`s dance recital. lol, it was spectacular!;0
175;acbda380bf;Last days of maternity leave;1
176;c68ca0493a;http://twitpic.com/4j95z - I don`t know why, but I LOLd.;1
178;4994f93bd6;i bit my tongue sooo bad...it`s swollen.;2
180;6bc20cdd81; im listening to people saying eww at out current frog disection  poor froggy.;2
181;1c24573c67;Printing from Opera gives me a much better result (but printing to PDF it names it _stdin_.pdf) - always gotta compromise;0
182;eb6391f98d; those aren`t even the old dolls...they are the new ones that look like sailor moon!;1
184;db69625f16;Never has a chance of sleeping before midnight  my mind is so tired......;2
185;ba583b5330; heyy!  told me to follow u, whatsup?;1
186;e79c31c31c; Not a problem at all sis - respect due;0
188;a6b98b0931;Hope ur all havin a nice Friday! Been feeling down this past week since my dog`s passing...;0
189;650c4b89cc; i wish i could but it would cost too much to call you all the way from the UK;2
191;bfddf4f6a2; ... rather than outdated & bigoted at worst, and outdated, patronising, imperialist, monoculturalist & self-righteous at best.;2
192;09d07cd42b;for the whole time ?;1
193;018b4fb3d3;just downed 10 live abalone sashimi with 2 bottles of sake with father-in-law.  Very happy;0
194;b87a9d5781;Happy Friday! I just realized I left my cell phone at home today though;0
196;14f76fadf5;I can`t I`m on my iPhone;1
197;03c7b5c498;_Gov hi gov!! How are you?;1
198;bd6b984f76; Great!;0
199;3f578016c0;its impossible to watch in full ANY flash video with my mac after 5.7;2
202;e0b6147fcb;_: '  Good evening, kind sir *bows*' ? http://blip.fm/~5z7zv;0
203;49c587ce4c; - No work, but gotta be here till 9pm  Enna kodumai sir idhu...;1
204;63d0fdd158;still fighting off this cold, ugh;2
205;f9d6eaac1e; seen u a couple of times. Liked it;0
206;6b4a84c31c;I`m so getting the cold;1
207;7bf530de4a;This has been a dismal week.;2
208;ff2704a5fa;Har vondt i ryggen My back hurts;2
209;66fbea38f0; Follow me please, so I can DM you...;1
210;e2d82b16c7; They`re for my mama  I always bake late and get worried that the mixer is gonna bother people.;2
211;1f03b34f07;Come See Me Live On Stickam  http://www.stickam.com/valentine_rock;1
214;fb0e1b0b5d; Philly hasn`t played it yet!!!  You have to do something about that!! Please;1
215;69a4e7a6f5; Ouch, I`m sorry then;2
216;ae02c0e0b1; One of my good friends in the states has it covered now, but thank you again!;0
217;4b20332170;Ready for Eastenders - going to be a good one!! .. Then the last BGT Semi Final  .. FINAL tomorrow night though  Exciting stuff...;0
218;a089b92224; I`m not having a good day... can u cheer me up with a tweet?  Even Tink will do. LOL.;1
220;28f02419f9; i hope you feel better;0
221;5c3060444c;HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  http://bit.ly/Bpekk;0
222;8fad6df5db;Ugh cramps  and it`s hot;2
224;dbba006190;#freeagentapp free trial ran out today, cannot subscribe because Abby accidentally canceled my card - still waiting for a new one;2
225;32f71e09e0; he didn`t know there was going to be a test;1
226;7c427a95b5; - i can do 'Nana' or 'Nana Rocks' for you in rhinestones & do printed onesies for them 'my nana loves me';0
227;fcc9210884;Is sat in her PJs drinking tea and watching the Politics Show. Lovely;0
228;9620f483d0; it was me the whole time I did a ton of things so u would believe me but u wouldn`t listen or let me prove it. Or blve me;1
229;00b2a5b40a; ouuhh dont cry  i feel so sad right now;2
230;730cddf438; i`m fake. . Is that the same?   ~K~;2
231;c3f103b7f4;http://twitpic.com/67di2 - This is what I meant when I said my skin is terrible. Plus sunburnt chest.;2
236;257010ac59;Work around the house  boo;1
237;67aa37e0aa; Thanks  #sigjeans;0
238;9fce0ac9cf; Hey, nothing wrong with that!;0
239;445b836fd9;sinus headaches suck big time!;2
240;1816dab1c5;watching short stack tv;1
241;8b73d55b3e; your not in school;1
243;ba442319a3; see ya there;1
244;872830f3fe;Is not going to service tonight due to the fact that i`ve yet to find a dress for prom tomorrow. Ugh;2
246;0da534d307;I wish i could sleep past four a.m. on my nights off  good morning!;0
248;d9d3225697;The one day I do my hair, weather sucks  where is the sun?;2
253;80f12a2f56; Thanks! I`m going to the Laker game tonight. Sec 108. I LOVE LA!;0
255;53053f3bff;i`m pretty bored/tried. my mom is going to be home in an hour.  is fixing to leave. aww...  she`s going to texas for a month..;1
256;1de2ebdaa0;sooo tired of this cubicle;2
257;8fd8dfd4b9;is feeling the effects of spring. My sinuses are killing me;2
259;21671fec73;  awww for me I just think she`s tooo young or just not ready for it - tis painful to watch her so upset;2
261;235e9a1055;Just reached my Cellgroup leader`s house and he is surprised that I`m dry. Haha.  - http://tweet.sg;0
262;3587b03d9f; You`re phone is off;1
263;81ea08af92;Anyone want my chocolate nutella mochi? Its just gonna go to waste;2
264;db7d1f9d88; you have no interview today?;1
267;aefe4a32b6; not this part, unfortunately.;2
268;ae8fd767fc;I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!;2
269;0682174ce4; o iight we gonna miss you tonight;1
271;f7206aab57;has a tummy ache;2
273;8e762fc337; i love the cheesey ones, and the cool orignal ones  , , , skips i have when my brother has them got to try them u c haha;0
274;f60e5eccec;exams. thennn some sexy time.;0
275;d19ddcc745;Ok, back to packing. Have been sitting in car charging phone as charger was left @ home as well;1
277;a0b91d02ba; haha, its cos one of your `tweets` was smile smile smile, so i quoted the boys in reply;0
278;3459100496; yes but 75% are on the wrong wireless plan;1
279;d24dcf85c7; omg! shannon Happy Birthday!!!! I`m celebrating for you!;0
283;2975048c23; girl, when you crash, it may last for 2 days;2
287;cde664a518;   HAPPY MOTHERS DAY!! LOVE YOU GUYS...;0
288;7f4ebd7979;If there is one thing the Internet has taught me, is that if I get enough people to listen to me I get to be on The colbert report.  #USA;1
290;ce68d406cf;10 more minutes and i never have this class again. Its kinda sad cause this class is so fun;1
291;24939264fe;hey twitter! i`m back online!;1
292;865feed8c0; I`m having exactly the same day you are, man. Just buried over here  #FollowFriday;1
293;5a254fbb98; no sir...i woulda put honey...but i don`t have any;1
294;352af20eac;Cuba trip booked;1
295;d2c80ece15;baby alex i miss you  ily<3 good night</3;0
296;99edd4600f;35 hours in the sun=rash;2
297;ac7a56d521;Somebody get me out of work tomorrow.;1
298;d2aacbc517;Fighting with Nagios configuration.  Great tool but the config is a bit of a labour;1
299;ef30751b05; that`s sad;2
300;b01341ffb3;not a very good day at the house;2
301;759fa44191; You gave me the inspiration for my last update.;0
302;0fe5621e20; Hey fellow Trojan..congrats on graduation.;0
303;117128077a;Brittany moved;1
305;bce27a09e1;Late night...finally home.;1
307;548556fb49;I don`t know what this is all about  but I`m goin to sleep;1
308;803996a09e;Just lost Internet.  And I was in a raid for 25 OS.;2
309;1968e10eb5;seniors done  5 more days!! woohoo!! going out for the night.;0
314;cb64f6d942;is enjoying the night with her folks.;0
315;a0a306868a;lost my tooth 2day whilst i was eating gum...oww;2
316;dbf2760981;2pm today is Quiz Time at the Goat! Game shows to play and prizes to be won! Plus `Toss Off Tommy` for free drinks! Today from 2! x;0
317;132e9ba249;11 days till county raly  i had 2 tak 3 from 14 it took me a while;1
318;4c8908e55c; Not any more.;1
319;e889de7271;This is scary  they hooked me up to 9 wires n it printed sum graph ohhhhhh;2
321;5ef969f006; wow, that`s cool  bytheway, i love your new TV show;0
322;e0fe9e38a0; Oh whoops, my bad;2
323;d423fe1be8;Computer is packed away. There goes my life. Right into a cardboard box.;0
324;cbf2c62757; hi my name is Chelsea and i respect your opinion when it comes to dwts. you were great on there too!;0
325;434076dc8c;having to use IE =/ firefox is playing up and i don`t know why  will try and fix it tomorrow.;2
326;7acea31723;http://twitpic.com/4qfl3 - haha^^ I love it;0
327;139d69ebfb;Is relaxing in bed for a while before I go to sleep. It was nice to get out of my house for a while tonight;0
328;a6ec2fcc06; Have you guys heard about the flu that`s been going around? Swine Flu? Hope you guys are safe  There`ve been deaths already. :-S;1
329;0e7155812a; ehhehehe thanks;0
330;08c6ce4251;Schools out, but works in;1
331;f16554ab38;The dj`s and partypeople were great again at CC. Kicking  Next one June 7;0
332;20251532a7;: I`m real;1
333;62ac88ef56;math is all that is left for the day, then the DMV;1
334;754fee0f03;So my first aid shift started out with some excitement but now it`s kinda died down...  I wish I could do this more often!;1
336;4fdd2fa268; He`s a good lad is wore Phil...  known each other for 22 years now... seems like 5 minutes!!  haha   You ok Hayley?;0
338;fa52ceb912; Major Fail. Since you asked;2
339;dc74f7168c;My cat died of kidney failure during my math test  This day needs to get better.;2
342;97a2ee5921; yeah I imagine you did;1
343;c1710c8d4a; happy birthday keshia, keshia, bo beshia;0
345;5dd5cf69dc;Sorry if I`m confusing anyone. I keep forgetting to . The desktop Twitterific  is not so terrific  Very different from iPhone app.;2
346;cd051bbe44;hearing the birds chirp makes me think its nice outside...well its not  rain rain go away!!!;0
347;1dbd984ce7;_Morales I like you. I mean as a random person, because I obviously don`t know you. but. we think alike;0
348;f5c1511faf;what fun!  I got retweeted by a bot;0
350;73b49ab662;watching a youtube vid of  sing paranoid live   is so cute when he sings lol;0
351;13611b97ae;i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.;2
352;0cda12f19c;Twitter is sooo quiet today;1
353;04e249dcf5;omg i was so nervous last block. i had my speech and i almost puked. it was horrible.... i bet i got a bad grade on it....;2
354;66f785f491; I already did..;1
357;48a4dafe66;my tummy hurts!;1
358;3682658596; NOOOOOOO!!!!!!!!!!!!! why in july? im gonna be back home  NOOOOOOOOOOO!!!!!!!!!;1
359;94cf2d33dc;At Piece now  Possibly Beachwood in a bit;1
360;8bd5b460ae; omg wtf why is there a **** site following me?!;2
361;7036f5129c; I tried TD, but it battled with CS3 over my processor. Nambu is really good, but unintuitive;1
362;7ee45b468a;My Chemical Romance Official Sodahead Profile  http://www.sodahead.com/mychemicalromance/;1
364;032d67ca83;  ROFLMAO for the funny web portal  =D;0
367;b4410b1922; lol. No new diet plan...ran late for wrk so didn`t hav a chance to make lunch. I ate a lot when I got hm!;1
368;336cef98d2;shopping with  tonight, cant wait!  Lucky ****  has already finished work  im stuck here forever!;0
369;3464ef7647;  I know... he`s mad at us... :`(;2
370;ae0135244f; why go winchester when my sister doesnt go there any more!   bad times.. x;2
371;cdeaa93be4;  sucks;2
372;58776959d7;The apple keyboard is really cool. i want one. they used it in doctor who;0
373;a3695ee1c8;oh no somebody hacked into my email  i`m scared now. what the ****!!;2
375;a48aa6561a;Its beautiful outside. I wish i was in new york city. But this area is pretty cool. Hip and trendy.;0
376;f4351f70ab; you guys ROCKED IT tonight in LA!! Love ya guys and cab wait to see another awesome show soon;0
377;66ef4d8b66; Good BUT it`s supposed to storm later;0
381;b44ef2a058;Watching mens volleyball on TV.  For some reason its not as good as womens beach volleyball.  Cant quite place why;2
383;0a542ae798;tomorrow is mothers day. so good food & presents for mom. good to be back & go to the junction with the coolest people at ollies;0
385;e17ee2bd79;boo  rabbits pisses on people you know that;2
386;5326ef93e6; I know. I think I`m going to have to miss it, though.  This is when sacrificing money for job happiness sucks ****.;1
388;856e0ae5aa; britains got talent is rather disappointing this year;2
389;9f19792407;iigghhtt, just fur geet it. idc. idk. eh blah ugh. blah idk... hah..=] um yah.. immboredddd, ugh  ill just fuckitt;2
391;febbdb2510;Cops tell #Tori`s Dad they may never find her remains  http://lfpress.ca/newsstand;1
392;9ebbde72a7;" haha i`ll keep that in mind  so far, i reckon i have enough money to stop my hair greying when i retire ;D";0
394;95c7e19699; i cant wait to see you guys @ hq on sunday!!;0
395;36e8f0f140; Oh come on!!! You get next week off and I get next week full of exams!;1
397;8eb64ead0c; ngobrolin favorite bands at the moment cii... kesian ya kamu speakernya rusak HAHAHA  benerin dong ci.;0
398;aab5b5c265; George B Shaw apparently wrote 2000 words a day. Sure practice works- the more you do the more it comes as 2nd nature;1
400;4d3ede28e7;ive very picky about what i put in my mouth. i hate onions. they make me cry  );2
402;df731bf21f;Loving the warm weather... but can we get some rain please?! my water bill is going to be bad;1
403;07bdcb63db;spent all morning watching Eddie Izzard`s Glorious! SO funny... realli shud hav studied thou...;0
404;f846c6fa86;At my cousins wake;1
405;c128b2482e;Gotta get ready to leave....Alec and I are going hunting outside of Volterra. This should be fun.  Talk to everyone later.;0
407;0209c8b5e1; How about SUSE?;1
409;213c5cbfb4; Yes! I love him. I have seen the eps so many time that I quote his lines with him.;0
411;110c66e2bc;One downside of the nice weather: It brings of the chavs...;2
412;aa806bb753;@ Little_Ren is lovely lovely, and so niceee;0
414;715e36ee7a; How`s the head this morning?;1
416;14cf23b3fb;    Ive been dying for those!! They just so expensive in little sizes.;1
417;3fdf6fd85b; Yeh I suppose, but its not the same you know? To me Henry isn`t really a gunner any more;1
419;b9275fe93e;with red who is blue;1
420;3d72bd6c6a; i hope so, recorded the pit/was game to find out it didnt record... lucky it wasn`t the leafs, i woulda lost it by now;2
421;c5e5b5d613;puppy I wanted was adopted yesterday  I guess my dogs don`t get a little brother anytime soon. but at least he isn`t in a shelter now;1
422;8783d1b3dd; pleaseeeee .. it was the only thing I wanted for my birthdayyyy!  please say happy birthday to me!;0
423;b47a2c7ebe;It`s almost past 3. Time to go to bed;1
424;f82f2e75ab;happy mothers day! im gunna crawl up in a ball and act like i dont exist  lmfaoo;0
425;63f3f867bb; whoa rad ! coffee makes me stay up all night;0
426;2f6dcb7cd8;It`s great to be home! Temp is chill, cat is great and I feel awesome;0
428;00bf1b4448; I WANT YOU ALL HERE WITH ME TOO! Ya`l shoulve gone with RM!;1
429;94bf29f7f1;"I`m in tantra, anyone from kirki will know how sad this is, I`m drowning my sorrows ;)";2
430;8ad203fa42;Bubbletweet hates me;2
431;02d22f57ea;" being updated to have multiple `skins` for different GT members. Nightmare. 82k of CSS to hack!  No time to redo; woe is me.";2
433;f2a4deffe9;Tweet Later! Byee;1
435;3391184efc;loves the nice weather and 7:30 exams;0
438;12f8ea67d2; Are you still taking calls? We were next to talk to you and we got disconnected before you got now.;1
439;0274567d50;i havent gotten any prank calls making me laugh in so long.;0
440;7c84a517b3; Thanks  Will Do;0
442;76d03aa370; so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go  iloveyou<3;1
443;4317aabcd5; Good work.I`ve only just managed to turn my studio on... I envy your productivity;0
444;c3191e4e45;i think they play michael buble in Heaven. He`s that great.;0
448;ce1b7b47d3;It rains and it sucks so much because it`s the second day in a row;2
449;fa346d7dc4; Nope;1
451;0d9efcc86e; is a no show for lunch. Eating solo at noodles;1
452;3ba3765073; It`s a lie just like the restaraunt named 'Garfields'... he is nowhere to be found;2
454;e1dc15f28e;It does! Lol but i have none;0
455;254254dfec;thanks to the forever 21 curse that makes you spend 3 hours there everytime you go in, i couldnt go tanning today;2
457;914f6e5e3f; ok i believe you.but i have a belly button.lol;0
458;b730e95543; hello there!;1
459;1672ec347b;sourish limbs is preventing me from gg out on a friday. not happy. i haven`t been on at 12am for a v long time...even more so on a fri;2
461;d5b5c0c42a;Excited!!! Trousers on their way from Topshop, should be here in a couple of days;0
462;d32d55433a;Going home to get clothes;1
463;7cd98b42e9; i guess it`s easier said than done for some people.....myself being one of them unfortunately;1
464;f092eb7907;Really disappointed I can`t make it to bloomington for  launch party tonight  if you`re around you should check it out;2
465;496406a27d;Has a headache;2
466;5a5619cb5f;I`m off! Well, home... I will see you soon!;0
469;156ad52163;Wine and Saginaki with 7 friends = good times;0
471;e69734c1de;but i`m talking to the boy first;1
472;81b61650fa;I ruined my lunch by eating half a bag of cheddar popcorn....now I feel sick.;2
473;c67035f1e7; nat has a twitter acct!;1
474;ad87930178;Happy mother`s day and to the god mother`s and step mother`s too....;1
475;10e155d558; heyyy! how are you todayy?!;1
476;236edcad26;  trying tweetdeck, have seen, you are twittering with that programme, so I thought, I should give it a try;1
477;6970c09cfc;_richie I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won`t be there;0
478;515e62397d; haha they might! good luck if you`re taking it as well  i`m hoping I get a 1 for putting my name down;0
480;8870e99b89;Site of our first date - Macri`s Deli - closed.  Lunching at favorite local Greek spot - The Trojan Horse - instead.;1
482;6a2aae1814;Happy Mother`s Day, amma!  I made u cake, remember? U loved it!;0
483;223329490e; - crazy fun! You make that man be nice!  Sri Lanka is a spiritual place, yes?;0
484;e55b367b2a; live live or leaked live? If it`s live properly I may just role outta bed and download it;1
485;0f8050afef; Good Luck;0
486;b3ac5238d1; I hope you like your new sat nav;0
487;4dbc53fce7; Friends in Ent Industry have said it was really really good.  Hopefully I can convince my wife into a date night  #hhrs;0
488;a0d15b9252;i feel super sick;2
489;772db3be6a;Stoppped following ama, i really need a clean break... on another note, kate is being super nice right now  Off to work;1
492;ee20c2fdbe; Hehe;1
493;3159e5f607; i can`t i can`t i can`t  i`m sad.... i`m from venezuela!;2
494;21e68a52a4;I dont know where to get my hair cut!;1
495;9ebf0fdde7; how about a new article on finding your YouTube channel stats in your Google Analytics account? Can`t find it;1
496;a7742bc5fa;out shopping....;1
497;45ce5a239e;workout stunk...no headphones.;2
498;27346e6829;Happy Mothers Day!  Love your Mom...;0
499;95c439d73d; Awwwww!!!! And the gorgeous photo from California!!! You two make me melt!!!;0
500;a907e85507;when can i ever do a barre chord???;1
501;e9eeef35ac; Thanks!;0
502;766856bb43;  the cokies arnt real imaginary will hav to do mmmmmmmmmmmm cookie...;1
503;8a0c00959f;got an A in english again  yay..  but a D- in maths;1
504;15f77d2bff;It`s a sad day when Christian Lacroix has to file for bankruptcy;2
505;8ce165131f; my sentiments exactly;0
507;cb102e0979;HAPPY MOTHER`S DAYYY!;0
508;b056ec3a6f;  hey y`all, we are waiting for final edits on our cover of 'sombody`s baby.'  can`t wait for some input;0
509;5d032ba2c6;dont look at my toes... put shoes on, then painted big toe!;1
513;0810fd23e2;_STYLE  I like it;0
514;2d6e96cb85;No more Wiffleball..  ****.;1
515;0dac65e546; arnold, california.  aka the best place ever...wish you could come with!!!;0
516;52a34843de;Zeb has napped for 6 hours already today, and is asleep again... he must be growing fast;0
